Subj	Group	Posit	Item	PrimeCond	PrimeCorrect	TargetAttach	
37	P	63	9	2	0	2	
37	P	67	2	3	1	2	
37	P	71	10	1	1	2	
37	P	75	5	3	1	2	
37	P	79	13	1	1	2	
37	P	83	17	3	1	2	
37	P	87	19	1	1	2	
37	P	91	8	3	1	2	
37	P	95	1	1	1	2	
37	P	99	21	2	0	1	
38	P	7	12	3	1	2	
38	P	11	14	1	1	1	
38	P	15	23	1	1	1	
38	P	19	24	3	1	1	
38	P	23	20	1	1	2	
38	P	27	6	3	1	3	
38	P	31	3	3	1	3	
38	P	35	16	2	1	2	
38	P	39	18	3	1	1	
38	P	43	7	2	1	1	
38	P	47	15	3	1	1	
38	P	51	11	1	1	1	
38	P	55	22	2	1	1	
38	P	59	4	2	1	2	
38	P	63	9	3	1	3	
38	P	67	2	1	1	2	
38	P	71	10	2	1	1	
38	P	75	5	1	1	1	
38	P	79	13	2	1	2	
38	P	83	17	1	1	1	
38	P	87	19	2	1	1	
38	P	91	8	1	1	1	
38	P	95	1	2	1	1	
38	P	99	21	3	1	3	
39	P	7	12	1	1	2	
39	P	11	14	2	0	1	
39	P	15	23	2	0	1	
39	P	19	24	1	1	1	
39	P	23	20	2	1	2	
39	P	27	6	1	1	3	
39	P	31	3	1	1	2	
39	P	35	16	3	1	3	
