Subj	posit	list	item	prime	target	tres_C	tres_F	presp	tresp	correct	numerr
L2M20	24	2	18	1	1	92	8	5	-10	0	1
L2M20	27	2	21	1	2	25	9	4	25	1	0
L2M20	30	2	22	1	1	56	8	1	56	1	0
L2M20	33	2	14	1	1	49	13	5	49	1	0
L2M20	36	2	5	1	2	152	62	5	152	1	0
L2M20	39	2	12	2	1	27	34	3	34	0	0
L2M20	42	2	9	1	2	50	26	5	50	1	0
L2M20	45	2	19	2	2	0	12	5	54	0	1
L2M20	48	2	3	2	2	1	6	2	1	1	0
L2M20	51	2	4	2	1	50	68	2	68	0	0
L2M20	54	2	10	1	1	98	8	5	98	1	0
L2M20	57	2	11	2	2	4	14	4	4	1	0
L2M20	60	2	15	2	2	15	40	4	15	1	0
L2M20	63	2	2	1	1	26	8	5	26	1	0
L2M20	66	2	8	2	1	25	65	5	65	0	0
L2M20	69	2	1	1	2	73	45	5	73	1	0
L2M20	72	2	17	1	2	97	25	4	97	1	0
L2M20	75	2	6	1	1	86	14	5	86	1	0
L2M21	6	4	9	2	2	50	26	2	26	0	0
L2M21	9	4	22	2	1	56	8	3	108	0	1
L2M21	12	4	8	1	1	25	65	3	25	1	0
L2M21	15	4	17	2	2	97	25	4	25	0	0
L2M21	18	4	14	2	1	49	13	5	49	1	0
L2M21	21	4	19	1	2	0	12	5	0	1	0
L2M21	24	4	1	2	2	73	45	1	45	0	0
L2M21	27	4	16	1	1	25	32	5	32	0	0
L2M21	30	4	12	1	1	27	34	5	34	0	0
L2M21	33	4	13	2	2	85	22	3	85	1	0
L2M21	36	4	2	2	1	26	8	3	26	1	0
L2M21	39	4	5	2	2	152	62	4	62	0	0
L2M21	42	4	10	2	1	98	8	5	98	1	0
L2M21	45	4	23	1	2	4	16	3	4	1	0
L2M21	48	4	6	2	1	86	14	5	86	1	0
L2M21	51	4	24	1	1	19	49	5	19	1	0
L2M21	54	4	3	1	2	1	6	5	1	1	0
L2M21	57	4	11	1	2	4	14	5	4	1	0
L2M21	60	4	7	1	2	1	4	5	1	1	0
L2M21	63	4	18	2	1	92	8	5	92	1	0
L2M21	66	4	15	1	2	15	40	5	15	1	0
L2M21	69	4	4	1	1	50	68	3	50	1	0
L2M21	72	4	21	2	2	25	9	4	9	0	0
L2M21	75	4	20	1	1	74	200	4	200	0	0
L2M22	6	3	23	1	1	62	14	5	62	1	0
L2M22	9	3	16	2	2	65	77	1	77	0	0
