Subj	posit	list	item	prime	pres_C	pres_F	target	presp	tresp
M2L25	15	4	7	2	1	4	1	1	4
M2L25	18	4	20	1	74	200	1	74	5
M2L25	21	4	24	1	19	49	1	19	5
M2L25	24	4	18	1	92	8	2	92	3
M2L25	27	4	21	2	25	9	2	25	2
M2L25	30	4	22	1	56	8	2	56	3
M2L25	33	4	14	1	49	13	2	49	5
M2L25	36	4	5	2	152	62	2	152	4
M2L25	39	4	12	1	27	34	1	27	4
M2L25	42	4	9	2	50	26	2	50	1
M2L25	45	4	19	2	0	12	1	0	4
M2L25	48	4	3	2	1	6	1	1	4
M2L25	51	4	4	1	50	68	1	50	5
M2L25	54	4	10	1	98	8	2	98	5
M2L25	57	4	11	2	4	14	1	4	5
M2L25	60	4	15	2	15	40	1	15	4
M2L25	63	4	2	1	26	8	2	26	1
M2L25	66	4	8	1	25	65	1	25	5
M2L25	69	4	1	2	73	45	2	73	2
M2L25	72	4	17	2	97	25	2	97	4
M2L25	75	4	6	1	86	14	2	86	4
M2L26	6	3	17	1	13	63	2	13	5
